feature,coefficient,odds_ratio
Number of Referrals,-0.17720465557311463,0.8376083457645955
Tenure in Months,-0.12367495066605172,0.8836670295843726
Number of Dependents,-0.05707946054337543,0.9445190143904963
Contract,-0.05685527395016675,0.9447307866279147
Payment Method_Credit Card,-0.022273488821947383,0.9779727338627041
Age,0.019348730478532153,1.019537130301488
Offer_Offer D,-0.014744403290728184,0.9853637631543541
Internet Type_Fiber Optic,0.014455622276384182,1.0145606100620101
Internet Type_DSL,-0.0143371882991252,0.9857650997604883
Total Refunds,0.01165412285709608,1.0117222967250226
Senior Citizen,0.009682006407824378,1.009729028665945
Offer_Offer E,0.009222689079566124,1.00926534912241
Avg Monthly GB Download,0.008369125672518128,1.0084042447082877
City Freq,0.008363608253411942,1.00839868093479
Monthly Charge,0.005650230706152948,1.0056662233662212
Gender,0.00543612404237127,1.0054509265753195
Under 30,0.004601253766738765,1.0046118557894805
Offer_Offer B,0.0043335473826543545,1.004342950777559
Total Charges,0.003948786866530472,1.0039565935977126
Avg Monthly Long Distance Charges,0.003186521076468631,1.0031916034316641
Total Revenue,-0.0030668908408721706,0.9969378072647564
Total Long Distance Charges,0.0029140475480154853,1.0029182975117676
Married,-0.0022639890457452545,0.9977385718444807
Payment Method_Mailed Check,0.0019708313836495402,1.0019727747482925
Total Extra Data Charges,0.0017243976014678303,1.0017258852299766
Offer_Offer C,-0.0012703724380804559,0.9987304341433961
CLTV,-2.1185971502946752e-05,0.9999788142529181
Population,1.5561875871714249e-06,1.000001556188798
