feature,mean_abs_shap,mean_shap
Total Charges,8.28845978386881,-0.01777565702576521
Total Revenue,8.28701009251762,0.1829025581316817
Tenure in Months,2.810971033321896,0.053850755627362384
Total Long Distance Charges,2.1686293187347028,-0.1580355570126506
Number of Referrals,0.4161818577476249,-0.054354622130479195
Age,0.2933645708503949,-0.09769528874845905
Avg Monthly GB Download,0.1201835576060554,0.028854325330696172
Monthly Charge,0.10228741233589657,-0.005952204147226255
City Freq,0.07907360547486174,-0.011319981425183572
Total Refunds,0.056873582938511254,-0.019184505326829547
Avg Monthly Long Distance Charges,0.043965973790058066,-0.0020959519409421016
Contract,0.04285228425625504,-0.001710986021954163
Number of Dependents,0.03735762819231136,-0.0010468388345973559
Total Extra Data Charges,0.030666576139838034,-0.004397329305269246
Population,0.028090677951105585,-0.006320426240652339
CLTV,0.020247810455701832,-1.518186150667929e-06
Payment Method_Credit Card,0.008974993487826445,-0.0027321549943173213
Internet Type_Fiber Optic,0.007000236683078004,-0.001211021207571789
Internet Type_DSL,0.005749845877713381,-0.0004851996254376002
Offer_Offer D,0.004233045153587179,0.000186722965368521
Senior Citizen,0.003413069273590823,-0.0008773427225510486
Offer_Offer E,0.003347947252618379,0.00015050144562236834
Gender,0.0027158788388392434,-0.00012669734883223965
Offer_Offer B,0.001819045672429846,-0.00018587263472589558
Under 30,0.0012704880882564308,0.0003103844408379785
Married,0.0011310852903241356,-0.00012826240484061605
Offer_Offer C,0.000281692758559091,-1.7618552153297527e-05
Payment Method_Mailed Check,0.00017571267757839686,-1.2795893187015318e-05
